"統計期","公私立別","性別","高等學校/總計[人]","高等學校/大學校院[人]","高等學校/專科學校[人]","中等學校/總計[人]","中等學校/高級中學[人]","中等學校/職業學校[人]","中等學校/國民中學[人]","國民小學[人]","幼兒園[人]","特殊教育[人]"
"78學年","總計","總計",32204,18020,14184,85327,15984,25755,43588,47006,29185,187
"78學年","總計","男",0,0,0,0,0,0,0,24479,0,0
"78學年","總計","女",0,0,0,0,0,0,0,22527,0,0
"78學年","國立","總計",13510,10258,3252,1401,1128,0,273,80,136,0
"78學年","國立","男",0,0,0,0,0,0,0,0,0,0
"78學年","國立","女",0,0,0,0,0,0,0,0,0,0
"78學年","市立","總計",429,0,429,58833,10340,6827,41666,44777,7759,187
"78學年","市立","男",0,0,0,0,0,0,0,0,0,0
"78學年","市立","女",0,0,0,0,0,0,0,0,0,0
"78學年","私立","總計",17510,7762,9748,25093,4516,18928,1649,1874,21229,0
"78學年","私立","男",0,0,0,0,0,0,0,0,0,0
"78學年","私立","女",0,0,0,0,0,0,0,0,0,0
"79學年","總計","總計",35870,20140,15730,87091,16057,24648,46386,49190,27604,235
"79學年","總計","男",0,0,0,0,0,0,0,25349,0,0
"79學年","總計","女",0,0,0,0,0,0,0,23841,0,0
"79學年","國立","總計",14813,11125,3688,1558,1290,0,268,353,206,0
"79學年","國立","男",0,0,0,0,0,0,0,0,0,0
"79學年","國立","女",0,0,0,0,0,0,0,0,0,0
"79學年","市立","總計",1071,653,418,61606,10188,6960,44458,46945,8974,235
"79學年","市立","男",0,0,0,0,0,0,0,0,0,0
"79學年","市立","女",0,0,0,0,0,0,0,0,0,0
"79學年","私立","總計",19986,8362,11624,23927,4579,17688,1660,1892,18424,0
"79學年","私立","男",0,0,0,0,0,0,0,0,0,0
"79學年","私立","女",0,0,0,0,0,0,0,0,0,0
"80學年","總計","總計",38342,21888,16454,86224,16272,25264,44688,49157,24519,365
"80學年","總計","男",0,0,0,0,0,0,0,25556,0,0
"80學年","總計","女",0,0,0,0,0,0,0,23601,0,0
"80學年","國立","總計",15678,11825,3853,1628,1357,0,271,361,108,0
"80學年","國立","男",0,0,0,0,0,0,0,0,0,0
"80學年","國立","女",0,0,0,0,0,0,0,0,0,0
"80學年","市立","總計",980,736,244,60228,10406,7046,42776,45837,9290,365
"80學年","市立","男",0,0,0,0,0,0,0,0,0,0
"80學年","市立","女",0,0,0,0,0,0,0,0,0,0
"80學年","私立","總計",21684,9327,12357,24368,4509,18218,1641,2959,15121,0
"80學年","私立","男",0,0,0,0,0,0,0,0,0,0
"80學年","私立","女",0,0,0,0,0,0,0,0,0,0
"81學年","總計","總計",39596,23584,16012,87237,16523,25991,44723,44861,23041,361
"81學年","總計","男",0,0,0,0,0,0,0,23265,0,0
"81學年","總計","女",0,0,0,0,0,0,0,21596,0,0
"81學年","國立","總計",17170,13115,4055,1429,1185,0,244,336,98,0
"81學年","國立","男",0,0,0,0,0,0,0,0,0,0
"81學年","國立","女",0,0,0,0,0,0,0,0,0,0
"81學年","市立","總計",1004,822,182,60584,10677,7148,42759,42684,9177,361
"81學年","市立","男",0,0,0,0,0,0,0,0,0,0
"81學年","市立","女",0,0,0,0,0,0,0,0,0,0
"81學年","私立","總計",21422,9647,11775,25224,4661,18843,1720,1841,13766,0
"81學年","私立","男",0,0,0,0,0,0,0,0,0,0
"81學年","私立","女",0,0,0,0,0,0,0,0,0,0
"82學年","總計","總計",40678,25634,15044,91843,18547,26573,46723,46633,22638,391
"82學年","總計","男",0,0,0,0,0,0,0,24336,0,0
"82學年","總計","女",0,0,0,0,0,0,0,22297,0,0
"82學年","國立","總計",18114,13720,4394,1513,1238,0,275,340,115,0
"82學年","國立","男",0,0,0,0,0,0,0,0,0,0
"82學年","國立","女",0,0,0,0,0,0,0,0,0,0
"82學年","市立","總計",1156,963,193,63594,11788,7078,44728,44447,9231,391
"82學年","市立","男",0,0,0,0,0,0,0,0,0,0
"82學年","市立","女",0,0,0,0,0,0,0,0,0,0
"82學年","私立","總計",21408,10951,10457,26736,5521,19495,1720,1846,13292,0
"82學年","私立","男",0,0,0,0,0,0,0,0,0,0
"82學年","私立","女",0,0,0,0,0,0,0,0,0,0
"83學年","總計","總計",42388,28361,14027,91044,18483,26730,45831,44725,22350,423
"83學年","總計","男",0,0,0,0,0,0,0,23274,0,0
"83學年","總計","女",0,0,0,0,0,0,0,21451,0,0
"83學年","國立","總計",18823,14265,4558,1633,1332,0,301,332,97,0
"83學年","國立","男",0,0,0,0,0,0,0,0,0,0
"83學年","國立","女",0,0,0,0,0,0,0,0,0,0
"83學年","市立","總計",1356,1186,170,62970,11570,7596,43804,42491,9302,423
"83學年","市立","男",0,0,0,0,0,0,0,0,0,0
"83學年","市立","女",0,0,0,0,0,0,0,0,0,0
"83學年","私立","總計",22209,12910,9299,26441,5581,19134,1726,1902,12951,0
"83學年","私立","男",0,0,0,0,0,0,0,0,0,0
"83學年","私立","女",0,0,0,0,0,0,0,0,0,0
"84學年","總計","總計",42477,29650,12827,86471,19131,25308,42032,41266,21818,359
"84學年","總計","男",0,0,0,0,0,0,0,21402,0,0
"84學年","總計","女",0,0,0,0,0,0,0,19864,0,0
